Title,RoleType,Name,Shares,Note
TWILIGHT ZONE CUES (THE),W,WEIR ROBERT HALL,,
TWILIGHT ZONE CUES (THE),P,ASPENFAIR MUSIC INC,,
TWILIGHT ZONE CUES (THE),P,SONY ATV HARMONY,,
TWILIGHT ZONE CUES (THE),P,Additional Non-ASCAP Publishers,,
TWILIGHT ZONE CUES (THE),ASCAP,Total Controlled by ASCAP,60.75,
TWILIGHT ZONE CUES (THE),W,GARCIA JEROME J,,
TWILIGHT ZONE CUES (THE),W,HART MICHAEL S,,
TWILIGHT ZONE CUES (THE),W,KREUTZMANN WILLIAM ,,
TWILIGHT ZONE CUES (THE),W,LESH PHILIP ,,
TWILIGHT ZONE CUES (THE),W,MYDLAND BRENT RICHARD,,
TWILIGHT ZONE CUES (THE),W,SAUNDERS MERL ,,
TWILIGHT ZONE CUES (THE),W,WEIR ROBERT HALL,,
TWILIGHT ZONE CUES (THE),P,ASPENFAIR MUSIC INC,,
TWILIGHT ZONE CUES (THE),P,SONY ATV HARMONY,,
TWILIGHT ZONE CUES (THE),P,Additional Non-ASCAP Publishers,,
U S BLUES,ASCAP,Total Controlled by ASCAP,100,
U S BLUES,W,GARCIA JEROME J,,
U S BLUES,W,HUNTER ROBERT C,,
U S BLUES,P,ICE NINE PUBLISHING CO INC,,
U S BLUES,P,UNIVERSAL MUSIC CORPORATION,,
UNCLE JOHN S BAND,ASCAP,Total Controlled by ASCAP,100,
UNCLE JOHN S BAND,W,GARCIA JEROME J,,
UNCLE JOHN S BAND,W,HUNTER ROBERT C,,
UNCLE JOHN S BAND,P,ICE NINE PUBLISHING CO INC,,
UNCLE JOHN S BAND,P,UNIVERSAL MUSIC CORPORATION,,
UNUSUAL OCCURANCES IN THE DESERT,ASCAP,Total Controlled by ASCAP,100,
UNUSUAL OCCURANCES IN THE DESERT,W,GARCIA JEROME J,,
UNUSUAL OCCURANCES IN THE DESERT,W,HUNTER ROBERT C,,
UNUSUAL OCCURANCES IN THE DESERT,P,ICE NINE PUBLISHING CO INC,,
UNUSUAL OCCURANCES IN THE DESERT,P,UNIVERSAL MUSIC CORPORATION,,
UNUSUAL OCCURRANCES IN TH,ASCAP,Total Controlled by ASCAP,100,
UNUSUAL OCCURRANCES IN TH,W,GARCIA JEROME J,,
UNUSUAL OCCURRANCES IN TH,W,HUNTER ROBERT C,,
UNUSUAL OCCURRANCES IN TH,P,ICE NINE PUBLISHING CO INC,,
UNUSUAL OCCURRANCES IN TH,P,UNIVERSAL MUSIC CORPORATION,,
VALERIE,ASCAP,Total Controlled by ASCAP,100,
VALERIE,W,GARCIA JEROME J,,
VALERIE,W,HUNTER ROBERT C,,
VALERIE,P,ICE NINE PUBLISHING CO INC,,
VALERIE,P,UNIVERSAL MUSIC CORPORATION,,
WATKINS GLEN SOUNDCHECK JAM,ASCAP,Total Controlled by ASCAP,40,
WATKINS GLEN SOUNDCHECK JAM,W,GARCIA JEROME J,,
WATKINS GLEN SOUNDCHECK JAM,W,GODCHAUX KEITH R RICHARD,,
WATKINS GLEN SOUNDCHECK JAM,W,KREUTZMANN WILLIAM ,,
WATKINS GLEN SOUNDCHECK JAM,W,LESH PHILIP ,,
WATKINS GLEN SOUNDCHECK JAM,W,WEIR ROBERT HALL,,
WATKINS GLEN SOUNDCHECK JAM,P,ICE NINE PUBLISHING CO INC,,
WATKINS GLEN SOUNDCHECK JAM,P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),ASCAP,Total Controlled by ASCAP,41.68,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),W,DP  ,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),W,GODCHAUX KEITH R RICHARD,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),W,HART MICHAEL S,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (CLOSING OF WINTERLAND),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (DOZIN'),ASCAP,Total Controlled by ASCAP,100,
WE BID YOU GOODNIGHT (DOZIN'),W,DP  ,,
WE BID YOU GOODNIGHT (DOZIN'),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (DOZIN'),W,HART MICHAEL S,,
WE BID YOU GOODNIGHT (DOZIN'),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (DOZIN'),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (DOZIN'),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (DOZIN'),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (DOZIN'),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (DP 4),ASCAP,Total Controlled by ASCAP,41.68,
WE BID YOU GOODNIGHT (DP 4),W,DP  ,,
WE BID YOU GOODNIGHT (DP 4),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (DP 4),W,HART MICHAEL S,,
WE BID YOU GOODNIGHT (DP 4),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (DP 4),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (DP 4),W,MAC KERNAN RONALD CHARLES R C,,
WE BID YOU GOODNIGHT (DP 4),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (DP 4),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (DP 4),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (DP 8),ASCAP,Total Controlled by ASCAP,41.68,
WE BID YOU GOODNIGHT (DP 8),W,DP  ,,
WE BID YOU GOODNIGHT (DP 8),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (DP 8),W,HART MICHAEL S,,
WE BID YOU GOODNIGHT (DP 8),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (DP 8),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (DP 8),W,MAC KERNAN RONALD CHARLES R C,,
WE BID YOU GOODNIGHT (DP 8),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (DP 8),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (DP 8),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (DP16),ASCAP,Total Controlled by ASCAP,41.68,
WE BID YOU GOODNIGHT (DP16),W,DP  ,,
WE BID YOU GOODNIGHT (DP16),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (DP16),W,HART MICHAEL S,,
WE BID YOU GOODNIGHT (DP16),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (DP16),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (DP16),W,MAC KERNAN RONALD CHARLES R C,,
WE BID YOU GOODNIGHT (DP16),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (DP16),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (DP16),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (DP28),ASCAP,Total Controlled by ASCAP,40,
WE BID YOU GOODNIGHT (DP28),W,DP  ,,
WE BID YOU GOODNIGHT (DP28),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (DP28),W,GODCHAUX KEITH R RICHARD,,
WE BID YOU GOODNIGHT (DP28),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (DP28),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (DP28),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (DP28),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (DP28),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (FILLMORE EAST),ASCAP,Total Controlled by ASCAP,41.68,
WE BID YOU GOODNIGHT (FILLMORE EAST),W,DP  ,,
WE BID YOU GOODNIGHT (FILLMORE EAST),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (FILLMORE EAST),W,HART MICHAEL S,,
WE BID YOU GOODNIGHT (FILLMORE EAST),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (FILLMORE EAST),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (FILLMORE EAST),W,MAC KERNAN RONALD CHARLES R C,,
WE BID YOU GOODNIGHT (FILLMORE EAST),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (FILLMORE EAST),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (FILLMORE EAST),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,ASCAP,Total Controlled by ASCAP,40,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,W,DP  ,,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,W,MAC KERNAN RONALD CHARLES R C,,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (FILLMORE WEST 1969 - CO,P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (LADIES & GENTS),ASCAP,Total Controlled by ASCAP,33.36,
WE BID YOU GOODNIGHT (LADIES & GENTS),W,CONSTANTEN THOMAS C,,
WE BID YOU GOODNIGHT (LADIES & GENTS),W,DP  ,,
WE BID YOU GOODNIGHT (LADIES & GENTS),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (LADIES & GENTS),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (LADIES & GENTS),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (LADIES & GENTS),W,MAC KERNAN RONALD CHARLES R C,,
WE BID YOU GOODNIGHT (LADIES & GENTS),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (LADIES & GENTS),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (LADIES & GENTS),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),ASCAP,Total Controlled by ASCAP,83.35,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),W,DP  ,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),W,HART MICHAEL S,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),W,MYDLAND BRENT RICHARD,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),P,UNIVERSAL MUSIC CORPORATION,,
WE BID YOU GOODNIGHT (NIGHTFALL OF D'NDS),P,Additional Non-ASCAP Publishers,,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,ASCAP,Total Controlled by ASCAP,40,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,W,DP  ,,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,W,GARCIA JEROME J,,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,W,GODCHAUX KEITH R RICHARD,,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,W,KREUTZMANN WILLIAM ,,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,W,LESH PHILIP ,,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,W,WEIR ROBERT HALL,,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,P,ICE NINE PUBLISHING CO INC,,
WE BID YOU GOODNIGHT (THE GRATEFUL DEAD MOVIE,P,UNIVERSAL MUSIC CORPORATION,,
WEIRDNESS,ASCAP,Total Controlled by ASCAP,40,
WEIRDNESS,W,GARCIA JEROME J,,
WEIRDNESS,W,GODCHAUX KEITH R RICHARD,,
WEIRDNESS,W,KREUTZMANN WILLIAM ,,
WEIRDNESS,W,LESH PHILIP ,,
WEIRDNESS,W,WEIR ROBERT HALL,,
WEIRDNESS,P,ICE NINE PUBLISHING CO INC,,
WEIRDNESS,P,UNIVERSAL MUSIC CORPORATION,,
WEST L A FADEAWAY,ASCAP,Total Controlled by ASCAP,100,
WEST L A FADEAWAY,W,GARCIA JEROME J,,
WEST L A FADEAWAY,W,HUNTER ROBERT C,,
WEST L A FADEAWAY,P,ICE NINE PUBLISHING CO INC,,
WEST L A FADEAWAY,P,UNIVERSAL MUSIC CORPORATION,,
WHARF RAT,ASCAP,Total Controlled by ASCAP,100,
WHARF RAT,W,GARCIA JEROME J,,
WHARF RAT,W,HUNTER ROBERT C,,
WHARF RAT,P,ICE NINE PUBLISHING CO INC,,
WHARF RAT,P,UNIVERSAL MUSIC CORPORATION,,
WHAT S BECOME OF THE BABY,ASCAP,Total Controlled by ASCAP,100,
WHAT S BECOME OF THE BABY,W,GARCIA JEROME J,,
WHAT S BECOME OF THE BABY,W,HUNTER ROBERT C,,
WHAT S BECOME OF THE BABY,P,ICE NINE PUBLISHING CO INC,,
WHAT S BECOME OF THE BABY,P,UNIVERSAL MUSIC CORPORATION,,
WHEEL THE,ASCAP,Total Controlled by ASCAP,100,
WHEEL THE,W,GARCIA JEROME J,,
WHEEL THE,W,HUNTER ROBERT C,,
WHEEL THE,W,KREUTZMANN WILLIAM ,,
WHEEL THE,P,ICE NINE PUBLISHING CO INC,,
WHEEL THE,P,UNIVERSAL MUSIC CORPORATION,,
WHEN PUSH COMES TO SHOVE,ASCAP,Total Controlled by ASCAP,100,
WHEN PUSH COMES TO SHOVE,W,GARCIA JEROME J,,
WHEN PUSH COMES TO SHOVE,W,HUNTER ROBERT C,,
WHEN PUSH COMES TO SHOVE,P,ICE NINE PUBLISHING CO INC,,
WHEN PUSH COMES TO SHOVE,P,UNIVERSAL MUSIC CORPORATION,,
WHISKEY IN THE JAR,ASCAP,Total Controlled by ASCAP,80,
WHISKEY IN THE JAR,W,DP  ,,
WHISKEY IN THE JAR,W,GARCIA JEROME J,,
WHISKEY IN THE JAR,W,HART MICHAEL S,,
WHISKEY IN THE JAR,W,KREUTZMANN WILLIAM ,,
WHISKEY IN THE JAR,W,LESH PHILIP ,,
WHISKEY IN THE JAR,W,WELNICK LEO VINCENT,,
WHISKEY IN THE JAR,P,ICE NINE PUBLISHING CO INC,,
WHISKEY IN THE JAR,P,UNIVERSAL MUSIC CORPORATION,,
WHISKEY IN THE JAR,P,Additional Non-ASCAP Publishers,,
WOOD GREEN JAM,ASCAP,Total Controlled by ASCAP,40,
WOOD GREEN JAM,W,GARCIA JEROME J,,
WOOD GREEN JAM,W,GODCHAUX KEITH R RICHARD,,
WOOD GREEN JAM,W,KREUTZMANN WILLIAM ,,
WOOD GREEN JAM,W,LESH PHILIP ,,
WOOD GREEN JAM,W,WEIR ROBERT HALL,,
WOOD GREEN JAM,P,ICE NINE PUBLISHING CO INC,,
WOOD GREEN JAM,P,UNIVERSAL MUSIC CORPORATION,,
YOU DON'T HAVE TO ASK,ASCAP,Total Controlled by ASCAP,40,
YOU DON'T HAVE TO ASK,W,GARCIA JEROME J,,
YOU DON'T HAVE TO ASK,W,KREUTZMANN WILLIAM ,,
YOU DON'T HAVE TO ASK,W,LESH PHILIP ,,
YOU DON'T HAVE TO ASK,W,MAC KERNAN RONALD CHARLES R C,,
YOU DON'T HAVE TO ASK,W,WEIR ROBERT HALL,,
YOU DON'T HAVE TO ASK,P,ICE NINE PUBLISHING CO INC,,
YOU DON'T HAVE TO ASK,P,UNIVERSAL MUSIC CORPORATION,,
ZILLIONAIRE,ASCAP,Total Controlled by ASCAP,66.7,
ZILLIONAIRE,W,BRICKELL EDIE ARLISA,,
ZILLIONAIRE,W,GARCIA JEROME J,,
ZILLIONAIRE,W,WASSERMAN ROBERT S,,
ZILLIONAIRE,P,EDIE BRICKELL SONGS,,
ZILLIONAIRE,P,ICE NINE PUBLISHING CO INC,,
ZILLIONAIRE,P,UNIVERSAL GEFFEN MUSIC,,
ZILLIONAIRE,P,UNIVERSAL MUSIC CORPORATION,,
ZILLIONAIRE,P,Additional Non-ASCAP Publishers,,
ZODIAC UPRISING,ASCAP,Total Controlled by ASCAP,100,
ZODIAC UPRISING,W,GARCIA JEROME J,,
ZODIAC UPRISING,W,NORDINE KEN ,,
ZODIAC UPRISING,P,ICE NINE PUBLISHING CO INC,,
ZODIAC UPRISING,P,K-ARTS INC (RUBBER FROG MUSIC DIVISION),,
ZODIAC UPRISING,P,UNIVERSAL MUSIC CORPORATION,,
